Device created (use hyperlink for reference),Plain text links for dupliate discovery,Design intent ,TRL,tags/keywords,Review method,Does it fulfill design intent?,Usefulness score (x/10),Practicality score (x/10),Inclusivity score (x/10),Objective cell,Uptake,Cost,Number of persons that interact with the product,,,,,,
Automated medical advice chatbot,https://www.nivi.io/,Automated chatbot capable of informing the user about different health issues and direct them to different solutions if needed,8,"software,",evaluated remotely,Yes,"8,provides covid realted research regarding vaccine histancy,is geographical so provides location based reffereals,minitors behaviour to help combat virus transmission","8,done through whatsapp easy for most","7,mobile or internet based",0.533333333,No data,,,,,,,,
Circular aerosol box for examining patients,https://app.jogl.io/project/526/CircularAerosolBox,Box keeping the virus from circulating in the air when intubating a patient,7,"laser cut,open source,",Tested,Yes,"8,geared towards protecting health care works so benefit is amplified,shown to reduce spread from infected patients during intubtion","7,simple design would be easy to use,potentially bulky required lots of patient maneuvering,might inhibit users movement","8,large design should accommodate most patients,unlikely to be many healthcare workers incapable of using it,might limit the mobility of some",0.533333333,No data,,,,,,,,
Foodbank delivery service,https://www.fastcompany.com/90500174/how-this-app-pivoted-from-helping-sports-fans-to-helping-food-banks?partner=rss&utm_campaign=rss%20fastcompany&utm_content=rss&utm_medium=feed&utm_source=rss,Website capable of organising food banks and the distribution of food to those who need it,9,"software,",evaluated remotely,Yes,"8,not only reduces waiting times for food banks by implementing a slot system,this will help reduced prolonged exposure to tohers,provide workers with additional cleaing time","7,mobile app enabled is easy for most,might be harder for the target audience of food bank users","8,aims to support the poorest among communities,requries mobile experience/ablity and internet",0.533333333,No data,,,,,,,,
Low cost centrifuge for SARS testing,https://www.medrxiv.org/content/10.1101/2020.06.30.20143255v1.full,"A design for a low cost ($1) saliva test,provides increased testing capabilities for low income/resource areas.",4,"laser cut,disease identification ",Evaluated remotely,,"8,increases testing ability in low resource areas","7 easy to use,does not require power,very portable,requires chemicals for function","8,easy to use for any able bodied person,may require specialist knowledge to operate correctly",0.533333333,No data,,,,,,,,
DNA identification service,https://app.jogl.io/project/519/MagnusqPCR,Home PCR machine capable of analysing samples at a low build cost,4,"software,open source,disease identification ",evaluated remotely,Incomplete,"9,A low cost and accurate PCR test would prove useful for all,it would be better at identifying recently infected and help reduce the spread","8,it is designed to be practical due to a small form factor,cheap price,portable nature and usb power supply.","9,designed to be a more inclusive version of current PCR testing methods",0.529411765,No data,,,,,,,,
Personal respirator (PeRSo hood),https://www.southampton.ac.uk/publicpolicy/support-for-policymakers/policy-projects/perso.page, A wearable respirator for healthcare professionals,9,"open source,ppe",,,"9,increases the safety of healthcare staff and provides better protection than wearing a facemask alone","8,can be worn as a belt,does not require any intererance once on,is reliant on a battery so cannot be used indefinitely","9,inclusive to all,can be work over glasses,most kinds of headdress ",0.529411765,No data,,,,,,,,
mask head harness,https://3dprint.nih.gov/discover/3dpx-014188,"Tensions the mask around the face,improving comfort in the ear area and avoiding leaks from the mask",7,"3d printed,injection moulded,open source,aerosol prevention,ppe",Tested,Yes,8,8,8,0.5,No data,,,,,,,,
Social distancing glasses,https://dmf-lab.co.uk/blog/social-distancing-glasses/,Lines drawn on glasses which indicate whether you are at an appropriate distance to another person,6,social distancing ,Tested,Yes,7,8,6,0.5,No data,,,,,,,,
Ventilator,https://dmf-lab.co.uk/blog/ventilator-design-for-laser-cutting/,Basic breathing aparatus used to support people needing breathing aid,7,"3d printed,injection moulded,laser cut,software,open source,patient treatment ",evaluated remotely,Incomplete,8,8,8,0.5,No data,,,,,,,,
Symptom Sense,https://www.symptomsense.com/,Walk-through scanner capable of analysing symptoms and giving a diagnostic,9,"software,disease identification ",evaluated remotely,Yes,8 - makes symptom checking very easy and allows to get a full picture of patients health very quickly,6 - saves a lot of time tracking symptoms but will be difficult to transport and install due to size,10 - should work on everyone,0.5,No data,,,,,,,,
Alternatice UV-C box,https://medium.com/@mikedubrovsky/building-a-crude-uv-c-mask-ppe-disinfection-chamber-1-hour-30-minimal-tools-afb56ca3b120,UV-C box that sanitises whatever object is put in it,4,"laser cut,software,open source,surface disinfection ",Tested,Yes,"8,extends the life of PPE in short supply,constructed from cheap accessible material","7,self constructed,some tooling required,could be problematic but easy to use","9,made from cheap mateirals,users physiocaltiy should make no difference",0.5,No data,,,,,,,,
open source LAMP test,https://github.com/hisashin/qNinjaLite,LAMP machine using laser cut parts capable of analysing samples and detecting CV19 in them,3,"laser cut,open source,testing,disease identification",Tested,Yes,"9,A low cost and accurate PCR test would prove useful for all,it would be better at identifying recently infected and help reduce the spread","8,it is designed to be practical due to a small form factor,cheap price,portable nature. All open source files make it easy to obtain","10,designed to be a more inclusive version of current PCR testing methods,open source files improve accessibility",0.5,No data,,,,,,,,
Research tracker,https://app.jogl.io/project/223,System capable of tracking the evolution of research into coronavirus and build a network,3,"software,open source,research,virus tracking",Tested,Yes,"7,better access to required research and reducing research duplication would speed up return to normal life","7,might provide better searchig than other methods (google scholar)","7,simply a database for browsing existing covid literature,used to monitor the expansion of covid realted literature,shouldn't see problems with inclusivity",0.5,No data,,,,,,,,
Visual replicas of towns for VR tourism,https://www.businessinsider.com/finland-virtual-reality-concert-may-day-during-the-coronavirus-2020-5?r=US&IR=T,Cities being replicated in VR to allow people to visit them without leaving their homes,9,"software,social distancing,life in lockdown",evaluated remotely,,"7,could be good for concerts/celebrations but unlikely that it would replace tourism. Prevents spread from large gathering","7,Requires large expenditure of time and resources to set up,pracical for users as just involves connecting to a webpage","7,accessible via multiple avenues,browser VR etc but still relient on technology so alienating to those without access",0.5,No data,,,,,,,,
Virtual reality office,https://www.covidinnovations.com/home/amsterdam-based-creative-agency-achtung-creates-virtual-office-where-employees-can-digitally-meet?rq=achtung,Office recreated in virtual reality in order to allow colleagues to meet a virtual environment,9,"software,life in lockdown,social distancing",evaluated remotely,,"6,will reduce contact between parties,could allow for more social events. Seems unnecessary and is essentially just an custom map for VRchat","7,requires every participant to have a VR headset,once connected seems easy to use ","5,reliance on VR problematic as some people cant use headset as they get headaches etc. Could alienate those without access to VR and those with less technology experience",0.5,No data,,,,,,,,
Virus protecting textiles,https://www.covidinnovations.com/home/09062020/brazilian-textile-companies-dalila-txtil-create-fabrics-capable-of-destroying-the-protective-outer-layer-of-covid?rq=albini,"Clothes capable of destroying the outer protective layer of the virus,reducing it's capacity to spread and contaminate",9,surface disinfection ,evaluated remotely,,"9,could reduce transmission of virus on clothes,does not require additional effort from user","9,can be incorporated into commonly worn garments,potentially slighlty more expensive. does not impair user day to day","9,could be incorporated into a wide variety of garments,unclear of cost,",0.5,No data,,,,,,,,
Modular parklets,https://www.covidinnovations.com/home/02072020/london-based-engineering-firm-arup-designs-parklets-to-help-restaurants-reopen-ensuring-social-distancing-in-liverpool-,Parks with modules that can be swapped around depending on the need for social distancing,5,social distancing ,evaluated remotely,,"8,will increase outside seating for restaurants. Encouraging more customers but still maintaning separation","8,can be installed in parking spaces,on the street etc. Modular and designed to be easy to clean up","8,no restrictions on who can use them,would require step free access etc",0.5,No data,,,,,,,,
Social distancing chair,https://www.covidinnovations.com/home/19062020/kateryna-sokolovas-sound-absorbing-capsule-chair-helps-design-post-covid-work-environments,Chair that coccon around the user to prevent the transmission of viruses and reduces  noise,7,aerosol prevention,evaluated remotely,,"7,will offer some prevention of spread,but large open front negates most of the benefits","8,no less practical than any other chair,looks like it can be disassembled for transport","6,unclear whether heihjt/width adjustment is an option,if it isn't then it limits whi can use the product",0.5,No data,,,,,,,,
Self-isolation micro appartment,https://www.covidinnovations.com/home/15042020/italian-architect-francesca-perani-designs-micro-appartment-that-can-be-used-for-self-isolation,Small appartment that has been designed for use when self isolating,4,medical management ,evaluated remotely,,"6,useful if isolating from other members of a household,otherwise seems unnecessary","6,is a conversion of an existing storage space,so will require an adequetely sized space aready there. Design look srelatively simple","6,only accessible to people with living sized spaces that they arent using that can be converted. Not inclusive to many",0.5,No data,,,,,,,,
Mask disinfecting box,https://www.covidinnovations.com/home/23062020/uv-products-manufacturer-uvccleans-launches-cleansbox-the-worlds-first-portable-uvc-light-sanitiser-to-disinfect-masks-anywhere,"Box capable of disinfecting face masks,allowing them to be reused",7,"3d printed,injection moulded,surface disinfection",evaluated remotely,,"9,seems useful to disinfect masks,reducing reliance on disposable masks","9,easily portable,could be put into a bag or kept in car","9,no inclusivity issues",0.5,No data,,,,,,,,
Disinfection booth,https://www.covidinnovations.com/home/05052020/hong-kong-airport-starts-to-full-body-disinfection-booths-by-cleantech,Booth capable of disinfecting people ,8,"software,surface disinfection",evaluated remotely,,"7,Good for disinfecting clothes. States taht it is not effective for those already infected with covid asymptomatically","7,Is large but will not require moving often. Should be quick and minimally invasive to use","7,could potentially be difficult for users in wheelchairs or with accessibility issues,also larger people",0.5,No data,,,,,,,,
LEGO robotic hand sanitizer dispenser,https://www.weforum.org/agenda/2020/05/coronavirus-robot-lego-sanitizer-refugees/,A contact free sanitizer dispenser constructed from accessible materials to reduce surface transmission,7,"surface disinfection,encourages good behaviour",Evaluated remotely,,"8,reduces contact when sanitizing hands,universal concept","7,instructions would be simple to follow,however requires access to specialised lego components (sensor,motors etc)","9,no inclusivity issues,could be limiting if access to lego was an issue",0.5,No data,,,,,,,,
Mental wellness app,https://ggtude.com/,App that offers different levels of mental support to the user,9,"software,life in lockdown",evaluated remotely,Yes,8 - Could help people better deal with the mental impacts of a pandemic,8 - easy to use and install on smartphone,9 - anyone with any connected device can use it,0.470588235,No data,,,,,,,,
Alternatve PAPR,https://bunnyscience.dozuki.com/Guide/Bunny+Science%E2%84%A2+PAPR/4,Air purifying respirator which can be made from home using simple objects,3,"3d printed,injection moulded,open source,aerosol prevention,ppe",Tested,Yes,"8,can improve the limited PPE supply or be an improvemnet over available PPE,targeted at medical staff so benefit is amplified","8,seems quite complicated to setup,although compared to other open source versions of the same product it is reasonable,comfortable","9,accessible components for type of product,shouldn’t have problems with different shaped heads or faces so might bean improvement",0.470588235,No data,,,,,,,,
Pop up bike lane,https://www.theguardian.com/world/2020/apr/13/pop-up-bike-lanes-help-with-coronavirus-social-distancing-in-germany,"Temporary bikes lanes that can be installed to promote cycling,reducing the amount of people using public transport",5,"social distancing,crowd management",evaluated remotely,,"8,allows cyclists to comply with social distancing guidelines. Will encourage more cycling","8,uses temporary markings and removable signs,making it a cheap and easily changable solution","9,no inclusivity issues",0.470588235,No data,,,,,,,,
Alternative hands-free door opener,https://www.materialise.com/en/hands-free-door-opener/technical-information,Range of designs made to suit different doors handles,8,"3d printed,injection moulded,open source,reducing contact,surface disinfection",Tested,Yes,"7,will reduce transmission via frequent contact points","8,mulitple designs eliminates the problme of varying door handles,door knobs still a problem","7,should be fine,wheelchair/amputees might sturggle",0.466666667,No data,,,,,,,,
Community vulnerability index,https://app.jogl.io/project/516/CVI,Statistical map allowing an overview of the distribution of communities affected by the virus,8,"software,patient treatmet,virus tracking,medical management",Tested,Incomplete,"7,various indicies to indicate vulnerability (economic,mental health) can help identify the largest problmes in a local area,limited resources become more effective if policy is made locally,low adoption results in inaccuracy","7,app based increases utilisation,aims to help communities disproportinaltey affected by covid so mobile based could be good as its US based.","8,aims to help communities with limited resources tackle their specific needs,requires mobile phone",0.466666667,No data,,,,,,,,
Covid passport using camera,https://app.jogl.io/project/208,Using a camera to capture a patients' essential details and link them to a test,5,"software,crowd management,surface disinfection",evaluated remotely,Yes,"7,would allow users to achieve better access in a post coivd world by veryfying their testing inofrmation","8,mobile based so accessible by many,app apperas fast and relativley simple,enables home printing","7,mobile based so accessible,but not much done to improve accessability,built for specific id cards",0.466666667,No data,,,,,,,,
Drive through medical clinics,https://www.covidinnovations.com/home/02072020/architecture-firm-nbbj-envisions-drive-through-medical-clinics-that-reduce-contamination-risks-for-patients,"Medical clinics in which patients stay in their cars,reducing the risk of virus transmission",3,"infrastructure,social distancing,patient treatment ",evaluated remotely,,"7,still a risk of patient/doctor transmission but overall greatly reduced. Only limited treatments will be able to be given in car","7,multiple tiers of setup with different levels of permanance etc,will require large space for construction","8,will benefit those with a car,may disadvantage those without,although it will reduce waiting times inside hospitals",0.466666667,No data,,,,,,,,
Covid-safe bench,https://www.covidinnovations.com/home/20042020/milanese-design-studio-antonio-lanzillo-partners-designs-shield-new-bench-adapted-to-covid-situation,Bench with separations between users allowing them to better socially distance,6,social distancing ,evaluated remotely,,"7,offers some protection,does not stop multiple people touching the bench","8,very easy to install on existing benches,probably minimal cost","7,could  be seen as an example of hostile architechture,could potentially make bench less accessible for larger users",0.466666667,No data,,,,,,,,
Micro market,https://www.covidinnovations.com/home/rotterdam-based-shift-architecture-urbanism-designs-local-micromarket,"Small ,hyper-local markets allowing inhabitants to shop for food on a local scale,reducing the amount of traffic",3,"crowd management,social distancing",evaluated remotely,,"7,will reduce number of customers at supermarkets. Selection of food likely to be limited.","6,requires large open spaces all over the city,may not be faesible. Will significantly extend time it takes to shop","9,no inclusivity issues,will potentially exclude those who live in less populated areas",0.466666667,No data,,,,,,,,
Unmanned smart hotel,https://www.covidinnovations.com/home/23062020/chinas-unmanned-smart-hotels-enable-clients-to-do-everything-without-human-assistance,"Hyper connected hotel in which each step,from reservation to check out is managed digitally and rooms can be managed from smartphones",7,"software,crowd management",evaluated remotely,,"7,prevents interactions,unlikely these interactions would have resulted in close contact in normal operation","7,unclear how easy these autonomous featurs are to operate,likely easy and unintrusive. ","8,use of facial recognition unclear on inclusivity. Appears fairly expensive",0.466666667,No data,,,,,,,,
Social distancing wristbands,https://www.covidinnovations.com/home/ford-tests-buzzing-wristbands-to-promote-social-distancing-at-their-manufacturing-plans,Wristbands which buzz when people are too close to each other,8,"software,social distancing",evaluated remotely,,"7,Could prevent contact,functionality may already be present in other smartwatches","7,wearing a watch is ubiquitous,will not impact user during every day activities. Will not work if battery runs out","8,doesnt appear to be uninclusive,could be expensive so not accessible in lower resource areas",0.466666667,No data,,,,,,,,
Windscreen wiper ventilator,https://sifted.eu/articles/coronavirus-windscreen-ventilator/,An emergenvy ventilator constructed from car windscreen wiper motors and basic materials,6,"open source,patient treatment",,,"7,useful to help when ventillators are in short supply,not useful for reducing spread","7,not too large could save lives could be clunky to manufacture","8,inclusive but requires access to a car windscreen wiper motor,could make it inaccessible in lower resource areas",0.466666667,No data,,,,,,,,
3d printed testing swab,https://www.nadona.org/wp-content/uploads/2020/05/AXIAL3D-SWAB-for-COVID19.pdf,"A Covid testing swab,printable in batches using 3D printer",8,"3d printed,open source,disease identification",Evaluated remotely,,"7,Provides easy access to testing swabs. Not directly useful alone,requires other parts of testing kit","6,printed in large batches. Not faesible for home printing as requires surgical grade resin to print",9 no inclusivity issues to speak of,0.466666667,No data,,,,,,,,
